initializing xbee... 
starting print thread... 
starting setpoint thread... 
initializing imu... 
initializing controller...
initializing motors...
resetting encoders...
initializing odometry...
attaching imu interupt...
we are running!!!...

RUNNING: Hold upright to balance.
                 SENSORS               |            MOCAP            |
    θ    |    φ    |  L Enc  |  R Enc  |    X    |    Y    |    ψ    |
  0.042  | 28.388  |   5056  |  -3796  | -1.048  | -0.159  | -3.112  |
  0.059  | 28.455  |   5068  |  -3805  | -1.048  | -0.161  | -3.113  |
  0.026  | 28.721  |   5106  |  -3850  | -1.049  | -0.166  | -3.131  |
 -0.005  | 28.930  |   5137  |  -3884  | -1.047  | -0.169  | -3.122  |
  0.048  | 28.612  |   5090  |  -3832  | -1.047  | -0.171  | -3.121  |
  0.280  | 27.910  |   4986  |  -3717  | -1.048  | -0.178  | -3.111  |
  0.214  | 28.744  |   5113  |  -3850  | -1.047  | -0.193  | -3.110  |
  0.136  | 29.930  |   5292  |  -4041  | -1.047  | -0.218  | -3.119  |
  0.114  | 31.043  |   5459  |  -4221  | -1.046  | -0.253  | -3.135  |
  0.094  | 32.275  |   5646  |  -4418  | -1.047  | -0.296  |  3.139  |
  0.072  | 33.586  |   5850  |  -4623  | -1.048  | -0.344  |  3.131  |
  0.071  | 34.860  |   6054  |  -4816  | -1.050  | -0.394  |  3.139  |
  0.083  | 36.319  |   6282  |  -5043  | -1.049  | -0.452  | -3.141  |
  0.085  | 37.771  |   6505  |  -5273  | -1.050  | -0.514  | -3.140  |
  0.058  | 39.388  |   6757  |  -5525  | -1.050  | -0.573  |  3.136  |
  0.053  | 40.943  |   7004  |  -5763  | -1.052  | -0.630  | -3.139  |
  0.071  | 42.476  |   7243  |  -6002  | -1.051  | -0.694  | -3.137  |
  0.077  | 44.134  |   7500  |  -6262  | -1.052  | -0.759  | -3.138  |
  0.023  | 46.039  |   7796  |  -6560  | -1.052  | -0.832  | -3.139  |
 -0.009  | 47.784  |   8069  |  -6831  | -1.053  | -0.893  |  3.138  |
  0.034  | 49.249  |   8301  |  -7056  | -1.054  | -0.967  |  3.136  |
  0.065  | 50.808  |   8540  |  -7303  | -1.054  | -1.028  |  3.131  |
 -0.008  | 52.770  |   8844  |  -7611  | -1.054  | -1.098  |  3.126  |
 -0.111  | 54.669  |   9142  |  -7905  | -1.054  | -1.160  |  3.131  |
 -0.116  | 55.990  |   9350  |  -8109  | -1.054  | -1.212  |  3.141  |
 -0.097  | 56.949  |   9501  |  -8257  | -1.054  | -1.257  | -3.136  |
 -0.098  | 57.741  |   9627  |  -8378  | -1.054  | -1.297  | -3.130  |
 -0.102  | 58.280  |   9713  |  -8460  | -1.054  | -1.324  | -3.125  |
 -0.090  | 58.498  |   9748  |  -8493  | -1.054  | -1.341  | -3.122  |
 -0.082  | 58.508  |   9752  |  -8492  | -1.054  | -1.348  | -3.116  |
 -0.115  | 58.447  |   9746  |  -8479  | -1.055  | -1.343  | -3.113  |
 -0.089  | 57.866  |   9662  |  -8382  | -1.054  | -1.331  | -3.095  |
 -0.023  | 56.904  |   9515  |  -8229  | -1.056  | -1.310  | -3.088  |
  0.018  | 55.936  |   9367  |  -8075  | -1.056  | -1.282  | -3.077  |
  0.034  | 55.031  |   9224  |  -7936  | -1.059  | -1.250  | -3.080  |
  0.040  | 54.140  |   9080  |  -7802  | -1.061  | -1.215  | -3.092  |
  0.054  | 53.216  |   8934  |  -7660  | -1.063  | -1.181  | -3.097  |
  0.072  | 52.328  |   8796  |  -7521  | -1.065  | -1.147  | -3.098  |
  0.081  | 51.510  |   8670  |  -7392  | -1.065  | -1.115  | -3.092  |
  0.079  | 50.782  |   8560  |  -7275  | -1.067  | -1.084  | -3.084  |
  0.091  | 50.086  |   8452  |  -7166  | -1.068  | -1.056  | -3.081  |
  0.098  | 49.493  |   8356  |  -7077  | -1.070  | -1.031  | -3.086  |
  0.082  | 48.961  |   8273  |  -6994  | -1.071  | -1.005  | -3.086  |
  0.093  | 48.499  |   8198  |  -6925  | -1.072  | -0.988  | -3.093  |
  0.102  | 48.156  |   8140  |  -6876  | -1.074  | -0.973  | -3.106  |
  0.095  | 47.986  |   8110  |  -6853  | -1.075  | -0.961  | -3.120  |
  0.085  | 47.909  |   8097  |  -6842  | -1.074  | -0.956  | -3.118  |
  0.083  | 47.902  |   8095  |  -6842  | -1.075  | -0.953  | -3.117  |
  0.091  | 47.912  |   8096  |  -6844  | -1.074  | -0.953  | -3.117  |
  0.111  | 47.995  |   8112  |  -6854  | -1.075  | -0.956  | -3.117  |
  0.080  | 48.342  |   8165  |  -6909  | -1.076  | -0.963  | -3.140  |
  0.048  | 48.688  |   8265  |  -6917  | -1.074  | -0.971  | -3.122  |
  0.034  | 48.967  |   8404  |  -6865  | -1.068  | -0.986  | -2.902  |
  0.043  | 49.143  |   8517  |  -6807  | -1.058  | -0.999  | -2.695  |
  0.054  | 49.352  |   8629  |  -6760  | -1.045  | -1.010  | -2.489  |
  0.054  | 49.708  |   8742  |  -6758  | -1.028  | -1.019  | -2.287  |
  0.049  | 50.115  |   8857  |  -6770  | -1.013  | -1.027  | -2.163  |
  0.036  | 50.625  |   8991  |  -6795  | -0.993  | -1.035  | -2.047  |
  0.022  | 51.177  |   9121  |  -6837  | -0.971  | -1.042  | -1.912  |
  0.016  | 51.706  |   9237  |  -6886  | -0.949  | -1.046  | -1.826  |
  0.013  | 52.222  |   9345  |  -6939  | -0.927  | -1.048  | -1.748  |
  0.004  | 52.748  |   9448  |  -7000  | -0.905  | -1.049  | -1.685  |
 -0.008  | 53.277  |   9558  |  -7055  | -0.884  | -1.049  | -1.619  |
 -0.016  | 53.700  |   9637  |  -7108  | -0.866  | -1.048  | -1.559  |
