initializing xbee... 
starting print thread... 
starting setpoint thread... 
initializing imu... 
initializing controller...
initializing motors...
resetting encoders...
initializing odometry...
attaching imu interupt...
we are running!!!...

RUNNING: Hold upright to balance.
                 SENSORS               |            MOCAP            |
    θ    |    φ    |  L Enc  |  R Enc  |    X    |    Y    |    ψ    |
 -0.076  | 26.037  |   4050  |  -4069  | -1.040  |  0.049  |  1.533  |
 -0.071  | 26.089  |   4062  |  -4073  | -1.047  |  0.049  |  1.550  |
 -0.049  | 25.854  |   4040  |  -4022  | -1.046  |  0.049  |  1.559  |
  0.024  | 25.197  |   4029  |  -3828  | -1.040  |  0.048  |  1.681  |
  0.144  | 24.312  |   4009  |  -3572  | -1.036  |  0.045  |  1.947  |
  0.248  | 23.780  |   4036  |  -3379  | -1.030  |  0.036  |  2.234  |
  0.220  | 24.206  |   4167  |  -3381  | -1.027  |  0.020  |  2.486  |
  0.092  | 25.389  |   4405  |  -3512  | -1.035  | -0.004  |  2.616  |
 -0.094  | 26.865  |   4683  |  -3694  | -1.041  | -0.028  |  2.757  |
 -0.198  | 27.791  |   4863  |  -3803  | -1.049  | -0.052  |  2.861  |
 -0.163  | 27.852  |   4894  |  -3791  | -1.054  | -0.068  |  2.941  |
 -0.118  | 27.583  |   4875  |  -3726  | -1.056  | -0.073  |  2.977  |
 -0.017  | 26.865  |   4793  |  -3584  | -1.056  | -0.070  |  3.039  |
  0.113  | 26.079  |   4701  |  -3431  | -1.054  | -0.063  |  3.125  |
  0.154  | 25.883  |   4680  |  -3391  | -1.052  | -0.058  | -3.099  |
  0.128  | 26.162  |   4708  |  -3450  | -1.053  | -0.059  | -3.116  |
  0.023  | 26.983  |   4823  |  -3591  | -1.054  | -0.069  |  3.121  |
 -0.105  | 27.801  |   4946  |  -3723  | -1.055  | -0.079  |  3.095  |
 -0.120  | 28.010  |   4984  |  -3750  | -1.054  | -0.087  |  3.115  |
 -0.112  | 27.907  |   4973  |  -3729  | -1.054  | -0.090  |  3.126  |
 -0.049  | 27.375  |   4897  |  -3639  | -1.054  | -0.084  | -3.140  |
  0.067  | 26.544  |   4771  |  -3506  | -1.055  | -0.075  | -3.125  |
  0.150  | 26.060  |   4698  |  -3428  | -1.055  | -0.067  | -3.126  |
  0.133  | 26.117  |   4697  |  -3447  | -1.056  | -0.060  | -3.130  |
  0.093  | 26.473  |   4741  |  -3514  | -1.057  | -0.062  |  3.123  |
 -0.010  | 27.198  |   4849  |  -3632  | -1.057  | -0.070  |  3.102  |
 -0.104  | 27.714  |   4934  |  -3708  | -1.057  | -0.076  |  3.101  |
 -0.094  | 27.695  |   4933  |  -3703  | -1.057  | -0.082  |  3.115  |
 -0.074  | 27.423  |   4896  |  -3655  | -1.057  | -0.079  |  3.121  |
  0.010  | 26.752  |   4798  |  -3544  | -1.057  | -0.070  |  3.135  |
  0.115  | 26.047  |   4693  |  -3429  | -1.057  | -0.061  | -3.132  |
  0.141  | 25.861  |   4665  |  -3399  | -1.059  | -0.055  |  3.141  |
  0.118  | 26.028  |   4683  |  -3433  | -1.059  | -0.053  |  3.130  |
  0.057  | 26.515  |   4750  |  -3518  | -1.059  | -0.056  |  3.128  |
 -0.044  | 27.160  |   4847  |  -3622  | -1.059  | -0.063  |  3.109  |
 -0.086  | 27.400  |   4889  |  -3655  | -1.058  | -0.069  |  3.114  |
 -0.078  | 27.310  |   4881  |  -3635  | -1.059  | -0.070  |  3.131  |
 -0.036  | 26.910  |   4825  |  -3566  | -1.059  | -0.066  | -3.138  |
  0.056  | 26.233  |   4723  |  -3457  | -1.059  | -0.058  | -3.123  |
  0.139  | 25.745  |   4649  |  -3379  | -1.059  | -0.049  | -3.121  |
  0.122  | 25.784  |   4649  |  -3391  | -1.060  | -0.044  | -3.121  |
  0.101  | 26.002  |   4671  |  -3437  | -1.061  | -0.045  |  3.132  |
  0.029  | 26.534  |   4747  |  -3527  | -1.061  | -0.050  |  3.108  |
 -0.022  | 26.775  |   4780  |  -3569  | -1.061  | -0.057  |  3.092  |
  0.036  | 26.800  |   4794  |  -3563  | -1.062  | -0.065  |  3.101  |
  0.009  | 26.958  |   4825  |  -3581  | -1.061  | -0.071  |  3.127  |
  0.060  | 26.919  |   4824  |  -3570  | -1.061  | -0.077  | -3.135  |
  0.098  | 26.967  |   4829  |  -3580  | -1.061  | -0.085  | -3.136  |
  0.117  | 27.163  |   4858  |  -3612  | -1.062  | -0.094  |  3.140  |
  0.113  | 27.596  |   4924  |  -3681  | -1.062  | -0.109  |  3.120  |
  0.108  | 28.141  |   5009  |  -3766  | -1.062  | -0.128  |  3.127  |
  0.113  | 28.779  |   5111  |  -3863  | -1.062  | -0.151  |  3.141  |
  0.120  | 29.549  |   5233  |  -3981  | -1.062  | -0.181  |  3.139  |
  0.120  | 30.476  |   5382  |  -4121  | -1.062  | -0.215  | -3.127  |
  0.106  | 31.592  |   5555  |  -4296  | -1.062  | -0.251  | -3.125  |
  0.057  | 32.916  |   5757  |  -4507  | -1.063  | -0.302  | -3.135  |
  0.073  | 34.026  |   5924  |  -4686  | -1.062  | -0.344  |  3.126  |
  0.103  | 35.180  |   6107  |  -4863  | -1.064  | -0.390  |  3.133  |
  0.101  | 36.562  |   6326  |  -5075  | -1.064  | -0.448  | -3.138  |
  0.091  | 38.079  |   6563  |  -5311  | -1.065  | -0.500  | -3.133  |
  0.067  | 39.702  |   6812  |  -5568  | -1.064  | -0.565  |  3.140  |
  0.079  | 41.267  |   7055  |  -5813  | -1.066  | -0.629  |  3.135  |
  0.098  | 42.893  |   7312  |  -6063  | -1.066  | -0.690  | -3.142  |
  0.089  | 44.715  |   7598  |  -6345  | -1.068  | -0.767  | -3.133  |
  0.059  | 46.696  |   7903  |  -6658  | -1.066  | -0.833  | -3.136  |
  0.040  | 48.662  |   8209  |  -6965  | -1.066  | -0.914  | -3.141  |
  0.034  | 50.824  |   8551  |  -7297  | -1.068  | -0.998  | -3.135  |
 -0.146  | 53.540  |   8970  |  -7725  | -1.068  | -1.068  |  3.137  |
 -0.503  | 56.462  |   9423  |  -8183  | -1.066  | -1.131  | -3.136  |
 -0.510  | 57.193  |   9535  |  -8299  | -1.067  | -1.177  | -3.121  |
 -0.405  | 56.731  |   9463  |  -8227  | -1.066  | -1.196  |  3.136  |
 -0.259  | 55.285  |   9246  |  -7993  | -1.066  | -1.185  | -3.139  |
  0.013  | 52.758  |   8862  |  -7589  | -1.065  | -1.146  | -3.125  |
  0.373  | 50.038  |   8442  |  -7161  | -1.067  | -1.101  | -3.116  |
  0.485  | 48.941  |   8275  |  -6986  | -1.069  | -1.062  | -3.124  |
  0.346  | 49.595  |   8374  |  -7091  | -1.067  | -1.048  | -3.102  |
  0.109  | 51.157  |   8603  |  -7349  | -1.069  | -1.056  | -3.114  |
 -0.181  | 52.876  |   8861  |  -7627  | -1.068  | -1.073  |  3.133  |
 -0.252  | 53.316  |   8929  |  -7696  | -1.067  | -1.083  |  3.130  |
 -0.190  | 52.719  |   8845  |  -7594  | -1.067  | -1.081  |  3.141  |
 -0.025  | 51.295  |   8629  |  -7366  | -1.068  | -1.066  | -3.129  |
  0.223  | 49.557  |   8362  |  -7091  | -1.070  | -1.039  | -3.118  |
  0.323  | 48.691  |   8231  |  -6952  | -1.069  | -1.018  | -3.110  |
  0.267  | 48.916  |   8262  |  -6991  | -1.069  | -1.007  | -3.106  |
  0.155  | 49.749  |   8386  |  -7127  | -1.070  | -1.011  | -3.118  |
 -0.020  | 50.965  |   8570  |  -7322  | -1.073  | -1.024  |  3.137  |
 -0.148  | 51.741  |   8685  |  -7449  | -1.071  | -1.038  |  3.128  |
 -0.124  | 51.670  |   8678  |  -7434  | -1.070  | -1.044  |  3.133  |
 -0.066  | 51.173  |   8607  |  -7350  | -1.071  | -1.041  | -3.135  |
  0.062  | 50.208  |   8461  |  -7195  | -1.071  | -1.031  | -3.124  |
  0.193  | 49.368  |   8334  |  -7060  | -1.071  | -1.017  | -3.107  |
  0.185  | 49.278  |   8321  |  -7045  | -1.071  | -1.009  | -3.101  |
  0.160  | 49.477  |   8347  |  -7081  | -1.071  | -1.007  | -3.106  |
  0.088  | 50.054  |   8431  |  -7177  | -1.072  | -1.012  | -3.119  |
 -0.021  | 50.782  |   8541  |  -7294  | -1.073  | -1.022  |  3.140  |
 -0.077  | 51.093  |   8583  |  -7349  | -1.072  | -1.028  |  3.121  |
 -0.060  | 50.974  |   8593  |  -7302  | -1.072  | -1.030  |  3.138  |
  0.007  | 50.368  |   8599  |  -7107  | -1.072  | -1.027  | -2.988  |
  0.093  | 49.618  |   8599  |  -6873  | -1.068  | -1.021  | -2.709  |
  0.198  | 48.938  |   8601  |  -6659  | -1.062  | -1.015  | -2.429  |
  0.241  | 48.864  |   8633  |  -6604  | -1.052  | -1.009  | -2.204  |
  0.157  | 49.692  |   8793  |  -6702  | -1.039  | -1.013  | -2.129  |
 -0.023  | 51.122  |   9065  |  -6876  | -1.018  | -1.020  | -2.065  |
 -0.188  | 52.286  |   9296  |  -7008  | -0.994  | -1.029  | -1.908  |
 -0.172  | 52.411  |   9351  |  -6992  | -0.978  | -1.035  | -1.790  |
 -0.122  | 52.058  |   9324  |  -6909  | -0.974  | -1.036  | -1.726  |
 -0.006  | 51.215  |   9223  |  -6747  | -0.981  | -1.036  | -1.639  |
  0.149  | 50.263  |   9105  |  -6568  | -0.981  | -1.036  | -1.639  |
  0.181  | 50.016  |   9074  |  -6522  | -0.981  | -1.036  | -1.639  |
  0.149  | 50.301  |   9115  |  -6570  | -0.981  | -1.036  | -1.639  |
  0.061  | 51.032  |   9221  |  -6692  | -0.981  | -1.036  | -1.639  |
 -0.059  | 51.943  |   9356  |  -6841  | -0.981  | -1.036  | -1.639  |
 -0.126  | 52.373  |   9418  |  -6913  | -0.981  | -1.036  | -1.639  |
 -0.109  | 52.283  |   9405  |  -6898  | -0.962  | -1.032  | -1.575  |
 -0.061  | 51.840  |   9336  |  -6829  | -0.967  | -1.032  | -1.568  |
  0.052  | 51.000  |   9209  |  -6694  | -0.976  | -1.032  | -1.571  |
  0.159  | 50.323  |   9108  |  -6584  | -0.989  | -1.032  | -1.548  |
  0.150  | 50.317  |   9108  |  -6582  | -0.995  | -1.032  | -1.533  |
  0.112  | 50.657  |   9159  |  -6637  | -0.993  | -1.032  | -1.538  |
  0.017  | 51.366  |   9266  |  -6751  | -0.985  | -1.029  | -1.525  |
 -0.082  | 51.975  |   9359  |  -6848  | -0.976  | -1.031  | -1.548  |
 -0.092  | 52.081  |   9374  |  -6866  | -0.971  | -1.031  | -1.545  |
